,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
2396,326.0,50088,Cosuenda,41.3656347,-1.2988397,ezr5,ezr56,ezr566,"(100, 500]",2
2397,97.0,49055,Cotanes del Monte,41.8169012,-5.2898081,ezkj,ezkjz,ezkjzs,"(0, 100]",1
2398,323.0,46100,Cotes,39.0703715,-0.5747878,eyzw,eyzw6,eyzw6b,"(100, 500]",2
2399,129.0,2028,Cotillas,38.4313285,-2.5072776,eyy4,eyy4w,eyy4wu,"(100, 500]",2
2400,0,36012,Cotobade,42.47391055,-8.47511424277176,ez9c,ez9cx,ez9cxh,,
2401,1601.0,42069,Covaleda,41.9348418,-2.8830033,ezmy,ezmyw,ezmyw6,"(1000, 5000]",4
2402,533.0,9113,Covarrubias,42.0592944,-3.5201803,ezmr,ezmrr,ezmrrb,"(500, 1000]",3
2403,2480.0,36013,Covelo,42.2320889,-8.363387,ezd0,ezd03,ezd038,"(1000, 5000]",4
2404,1791.0,12050,Coves de Vinromà,40.310827,0.1211825,sp0j,sp0j6,sp0j6f,"(1000, 5000]",4
2405,7431.0,3058,Cox,43.7603,1.04257,spb8,spb8z,spb8zw,"(5000, 10000]",5
2406,913.0,13037,Cózar,38.6608157,-3.0735807,eyvg,eyvgf,eyvgfj,"(500, 1000]",3
2407,117.0,40902,Cozuelos de Fuentidueña,41.3911115,-4.0955261,ezm5,ezm56,ezm56z,"(100, 500]",2
2408,1937.0,36014,Crecente,42.1516954,-8.2239168,ez6p,ez6pu,ez6puc,"(1000, 5000]",4
2409,3981.0,43050,Creixell,41.1677349,1.4407074,sp34,sp340,sp340y,"(1000, 5000]",4
2410,522.0,24060,Crémenes,42.9033585,-5.1431358,ezsk,ezsk4,ezsk4f,"(500, 1000]",3
2411,276.0,17058,Crespià,42.1877796,2.7982926,sp9b,sp9bp,sp9bp8,"(100, 500]",2
2412,481.0,5065,Crespos,40.8720548,-4.9702253,ezk2,ezk2w,ezk2wb,"(100, 500]",2
2413,563.0,44086,Cretas,40.9282365,0.2123402,sp20,sp20u,sp20uf,"(500, 1000]",3
2414,29881.0,3059,Crevillent,38.2493099,-0.8111359,eyz3,eyz3t,eyz3te,"(10000, 50000]",6
2415,558.0,6041,Cristina,-22.212222,-45.264167,6upc,6upc9,6upc9u,"(500, 1000]",3
2416,169.0,37112,Cristóbal,40.4692924,-5.8898816,ez5y,ez5y1,ez5y1z,"(100, 500]",2
2417,90.0,44087,Crivillén,40.88321,-0.5768456,ezr8,ezr8d,ezr8df,"(0, 100]",1
2418,1338.0,17901,Cruïlles,41.9558251,3.0114014,sp6n,sp6ns,sp6nst,"(1000, 5000]",4
2419,828.0,10068,Cuacos de Yuste,40.1052487,-5.7230387,ez5u,ez5uj,ez5uju,"(500, 1000]",3
2420,2049.0,24061,Cuadros,42.7111486,-5.639153,ezef,ezefz,ezefzx,"(1000, 5000]",4
2421,1627.0,32028,Cualedro,41.9885728,-7.593898,ez6w,ez6wg,ez6wg5,"(1000, 5000]",4
2422,14169.0,50089,Cuarte de Huerva,41.5935919,-0.9388829,ezrk,ezrkd,ezrkde,"(10000, 50000]",6
2423,42.0,44088,Cuba,23.0131338,-80.8328748,dhnd,dhndb,dhndbt,"(0, 100]",1
2424,6698.0,28050,Cubas de la Sagra,40.1908352,-3.8378366,ezjk,ezjk8,ezjk8s,"(5000, 10000]",5
2425,153.0,50090,Cubel,41.0975232,-1.6348157,ezqc,ezqcf,ezqcfc,"(100, 500]",2
2426,16386.0,8074,Cubelles,41.2083363,1.6730541,sp34,sp34q,sp34qj,"(10000, 50000]",6
2427,356.0,25079,Cubells,41.8526897,0.9587685,sp2w,sp2wj,sp2wjg,"(100, 500]",2
2428,25.0,42070,Cubilla,41.7491751,-2.9373514,ezmv,ezmvt,ezmvt0,"(0, 100]",1
2429,64.0,34066,Cubillas de Cerrato,41.7984696,-4.4663595,ezkv,ezkvf,ezkvf3,"(0, 100]",1
2430,137.0,24062,Cubillas de los Oteros,42.3719398,-5.5076444,ezs1,ezs14,ezs149,"(100, 500]",2
2431,388.0,24063,Cubillas de Rueda,42.6558903,-5.1756683,ezs6,ezs6d,ezs6dj,"(100, 500]",2
2432,368.0,47057,Cubillas de Santa Marta,41.8341232,-4.6134628,ezkt,ezktz,ezktzp,"(100, 500]",2
2433,74.0,40062,Cubillo,41.1216198,-3.9084802,ezm1,ezm1z,ezm1zj,"(0, 100]",1
2434,121.0,19102,Cubillo de Uceda,40.8235549,-3.4057849,ezm8,ezm84,ezm84r,"(100, 500]",2
2435,101.0,9114,Cubillo del Campo,42.1684304,-3.6105135,ezmr,ezmrv,ezmrvu,"(100, 500]",2
2436,297.0,49056,Cubillos,41.5740404,-5.7402123,ez7u,ez7ut,ez7ut2,"(100, 500]",2
2437,1789.0,24064,Cubillos del Sil,42.6240882,-6.5629162,eze6,eze66,eze66x,"(1000, 5000]",4
2438,60.0,44089,Cubla,40.2106641,-1.0786816,ezph,ezphz,ezphz2,"(0, 100]",1
2439,121.0,49057,Cubo de Benavente,42.1244561,-6.1635419,ez7x,ez7xe,ez7xes,"(100, 500]",2
2440,107.0,9115,Cubo de Bureba,42.640148,-3.2060056,eztd,eztdx,eztdx4,"(100, 500]",2
2441,412.0,37113,Cubo de Don Sancho,40.8910157,-6.3057661,ez78,ez788,ez788e,"(100, 500]",2
2442,166.0,42071,Cubo de la Solana,41.6024919,-2.4208326,ezqk,ezqk8,ezqk8v,"(100, 500]",2
2443,321.0,49058,Cubo de Tierra del Vino,41.2558502,-5.7087521,ez7f,ez7fw,ez7fwn,"(100, 500]",2
2444,78.0,44090,Cucalón,41.0860186,-1.2154325,ezr1,ezr1s,ezr1sr,"(0, 100]",1
2445,4928.0,33021,Cudillero,43.54335745,-6.1936313237885,ezex,ezexe,ezexen,"(1000, 5000]",4
2446,81.0,49059,Cuelgamures,41.3068846,-5.6580555,ez7f,ez7fz,ez7fzp,"(0, 100]",1
2447,9588.0,40063,Cuéllar,41.3997643,-4.3150702,ezkg,ezkgt,ezkgtb,"(5000, 10000]",5
2448,53389.0,16078,Cuenca,40.0661031,-2.1313528,ezn7,ezn7z,ezn7zm,"(50000, 100000]",7
2449,209.0,47058,Cuenca de Campos,42.0585105,-5.0547427,ezkr,ezkrk,ezkrkb,"(100, 500]",2
2450,39.0,50091,Cuerlas,40.9594637,-1.5495204,ezqc,ezqch,ezqch8,"(0, 100]",1
2451,1248.0,45055,Cuerva,39.6634927,-4.2126962,ezj1,ezj18,ezj18h,"(1000, 5000]",4
